time,id,x,y,orientation,velocity,acceleration,length,width
24,689,18.8278,-11.9415,-0.7144,10.2931,0.5212,4.7244,1.9507
25,689,19.6337,-12.6404,-0.7122,10.3815,2.3683,4.7244,1.9507
26,689,20.442,-13.3384,-0.7168,10.5796,1.5636,4.7244,1.9507
27,689,21.2415,-14.0352,-0.7205,10.732,0.9906,4.7244,1.9507
28,689,22.0416,-14.7377,-0.7138,10.8753,1.9294,4.7244,1.9507
29,689,22.871,-15.4561,-0.7158,11.0825,2.411,4.7244,1.9507
30,689,23.7177,-16.1925,-0.7114,11.302,2.0879,4.7244,1.9507
31,689,24.5855,-16.9405,-0.6986,11.4666,1.2619,4.7244,1.9507
32,689,25.4773,-17.6897,-0.701,11.555,0.4663,4.7244,1.9507
33,689,26.3625,-18.4368,-0.701,11.5854,0.006,4.7244,1.9507
34,689,27.2476,-19.1838,-0.7012,11.5915,0.0487,4.7244,1.9507
35,689,28.1327,-19.9312,-0.701,11.5885,-0.0121,4.7244,1.9507
36,689,29.0179,-20.6783,-0.7029,11.5336,-0.8808,4.7244,1.9507
37,689,29.9106,-21.4348,-0.7116,11.3751,-2.2494,4.7244,1.9507
38,689,30.7699,-22.1757,-0.6947,11.1069,-3.304,4.7244,1.9507
39,689,31.6078,-22.874,-0.684,10.8052,-3.0084,4.7244,1.9507
40,689,32.428,-23.5428,-0.7032,10.5979,-1.3594,4.7244,1.9507
41,689,33.2116,-24.2072,-0.7133,10.5369,0.2743,4.7244,1.9507
42,689,34.0084,-24.8967,-0.7159,10.5796,0.89,4.7244,1.9507
43,689,34.8191,-25.602,-0.7142,10.6436,0.4968,4.7244,1.9507
44,689,35.6253,-26.3009,-0.714,10.6741,-0.0182,4.7244,1.9507
45,689,36.4315,-26.9995,-0.7144,10.671,-0.0701,4.7244,1.9507
46,689,37.2374,-27.6984,-0.714,10.668,0.0,4.7244,1.9507
47,689,38.0436,-28.397,-0.7142,10.668,0.0,4.7244,1.9507
48,689,38.8498,-29.0959,-0.7142,10.668,0.0,4.7244,1.9507
49,689,39.6557,-29.7945,-0.7142,10.668,0.0,4.7244,1.9507
50,689,40.4619,-30.4934,-0.714,10.668,0.0,4.7244,1.9507
51,689,41.2681,-31.192,-0.7142,10.668,0.0,4.7244,1.9507
52,689,42.0743,-31.8909,-0.7142,10.668,0.0,4.7244,1.9507
53,689,42.8802,-32.5895,-0.7142,10.668,0.0,4.7244,1.9507
54,689,43.6864,-33.2885,-0.714,10.668,0.0,4.7244,1.9507
55,689,44.4926,-33.9871,-0.7144,10.6619,-0.0853,4.7244,1.9507
56,689,45.2985,-34.686,-0.714,10.6589,-0.0304,4.7244,1.9507
57,689,46.1047,-35.3846,-0.7142,10.6985,0.6339,4.7244,1.9507
58,689,46.9038,-36.0774,-0.7025,10.8295,1.9202,4.7244,1.9507
59,689,47.7289,-36.776,-0.7082,11.0856,3.2614,4.7244,1.9507
60,689,48.5802,-37.5051,-0.72,11.43,3.4138,4.7244,1.9507
61,689,49.4562,-38.2735,-0.7247,11.7744,3.2583,4.7244,1.9507
62,689,50.3584,-39.0723,-0.714,12.0366,2.0513,4.7244,1.9507
63,689,51.2866,-39.8767,-0.7141,12.189,0.8686,4.7244,1.9507
64,689,52.208,-40.6753,-0.7142,12.2408,0.0731,4.7244,1.9507
65,689,53.1291,-41.4739,-0.7134,12.2408,-0.1341,4.7244,1.9507
66,689,54.0499,-42.2709,-0.7142,12.2408,0.0426,4.7244,1.9507
67,689,54.971,-43.0695,-0.7186,12.2591,0.3535,4.7244,1.9507
68,689,55.8954,-43.8781,-0.7195,12.2926,0.4541,4.7244,1.9507
69,689,56.8242,-44.6919,-0.7155,12.3292,0.2347,4.7244,1.9507
70,689,57.7566,-45.5024,-0.7139,12.3505,0.131,4.7244,1.9507
71,689,58.6892,-46.3104,-0.7159,12.3718,0.3017,4.7244,1.9507
72,689,59.6213,-47.1212,-0.7236,12.3962,0.2621,4.7244,1.9507
73,689,60.5531,-47.9445,-0.7224,12.3749,-0.4998,4.7244,1.9507
74,689,61.4931,-48.7729,-0.7295,12.2621,-1.7465,4.7244,1.9507
75,689,62.4048,-49.5879,-0.7151,12.067,-2.4049,4.7244,1.9507
76,689,63.3042,-50.3691,-0.7016,11.8842,-1.5331,4.7244,1.9507
77,689,64.1894,-51.1171,-0.6925,11.8293,0.3139,4.7244,1.9507
78,689,65.091,-51.8651,-0.6996,11.9085,1.6032,4.7244,1.9507
79,689,66.0114,-52.6399,-0.716,12.0518,1.5149,4.7244,1.9507
80,689,66.9365,-53.4449,-0.7295,12.1585,0.637,4.7244,1.9507
81,689,67.8463,-54.2584,-0.7238,12.1981,0.0091,4.7244,1.9507
82,689,68.7598,-55.0658,-0.7238,12.1981,-0.0853,4.7244,1.9507
83,689,69.6733,-55.8732,-0.7238,12.192,-0.0091,4.7244,1.9507
84,689,70.5868,-56.6806,-0.7238,12.192,0.0,4.7244,1.9507
85,689,71.5003,-57.488,-0.7241,12.192,0.0,4.7244,1.9507
86,689,72.4135,-58.2958,-0.7238,12.192,0.0,4.7244,1.9507
87,689,73.327,-59.1032,-0.7238,12.192,0.0,4.7244,1.9507
88,689,74.2404,-59.9106,-0.7238,12.192,0.0,4.7244,1.9507
89,689,75.1539,-60.718,-0.7238,12.192,0.0,4.7244,1.9507
90,689,76.0674,-61.5254,-0.724,12.192,0.0,4.7244,1.9507
91,689,76.9809,-62.3331,-0.7238,12.192,0.0,4.7244,1.9507
92,689,77.8944,-63.1406,-0.7238,12.192,0.0,4.7244,1.9507
93,689,78.8079,-63.948,-0.7238,12.192,0.0,4.7244,1.9507
94,689,79.7214,-64.7554,-0.7238,12.1402,-0.8138,4.7244,1.9507
95,689,80.6348,-65.5628,-0.724,12.0244,-1.527,4.7244,1.9507
96,689,81.5483,-66.3705,-0.7238,11.9421,-0.7315,4.7244,1.9507
97,689,82.4618,-67.1779,-0.7238,11.9421,0.7284,4.7244,1.9507
98,689,83.3753,-67.9854,-0.7238,12.0244,1.524,4.7244,1.9507
99,689,84.2888,-68.7928,-0.7238,12.1402,0.8168,4.7244,1.9507
100,689,85.2023,-69.6002,-0.724,12.1859,-0.0731,4.7244,1.9507
101,689,86.1158,-70.4079,-0.7238,12.189,0.0396,4.7244,1.9507
102,689,87.0292,-71.2153,-0.7237,12.2377,0.7985,4.7244,1.9507
103,689,87.936,-72.0166,-0.7156,12.3871,2.094,4.7244,1.9507
104,689,88.8724,-72.8308,-0.7073,12.637,3.1151,4.7244,1.9507
105,689,89.845,-73.6623,-0.7061,12.9327,3.0114,4.7244,1.9507
106,689,90.8496,-74.5191,-0.6823,13.1978,2.2982,4.7244,1.9507
107,689,91.8871,-75.3621,-0.647,13.4234,2.0025,4.7244,1.9507
108,689,92.9594,-76.1723,-0.7029,13.6459,2.3683,4.7244,1.9507
109,689,94.0095,-77.062,-0.7283,13.9172,3.1029,4.7244,1.9507
110,689,95.0555,-77.995,-0.7497,14.2281,3.2339,4.7244,1.9507
111,689,96.1095,-78.9764,-0.7856,14.4963,2.3683,4.7244,1.9507
112,689,97.1629,-80.0304,-0.7769,14.667,1.0577,4.7244,1.9507
113,689,98.2151,-81.0649,-0.7791,14.734,0.064,4.7244,1.9507
114,689,99.2651,-82.1019,-0.7802,14.7432,0.0274,4.7244,1.9507
115,689,100.3139,-83.14,-0.7791,14.7584,0.2804,4.7244,1.9507
116,689,101.364,-84.1769,-0.7767,14.7737,0.1371,4.7244,1.9507
117,689,102.4162,-85.2111,-0.7759,14.7737,-0.131,4.7244,1.9507
118,689,103.4692,-86.2444,-0.7764,14.7584,-0.2804,4.7244,1.9507
119,689,104.5217,-87.2783,-0.7763,14.7371,-0.1493,4.7244,1.9507
120,689,105.5745,-88.3122,-0.7764,14.7279,0.0,4.7244,1.9507
121,689,106.627,-89.346,-0.7763,14.7279,0.0,4.7244,1.9507
122,689,107.6797,-90.3799,-0.7764,14.7279,0.0,4.7244,1.9507
123,689,108.7322,-91.4138,-0.7763,14.7279,0.0,4.7244,1.9507
124,689,109.785,-92.4477,-0.7764,14.7218,-0.0914,4.7244,1.9507
125,689,110.8375,-93.4816,-0.7763,14.7188,0.006,4.7244,1.9507
126,689,111.8903,-94.5155,-0.7768,14.7737,0.8625,4.7244,1.9507
127,689,112.9348,-95.5423,-0.7634,14.9443,2.411,4.7244,1.9507
128,689,114.015,-96.5762,-0.7683,15.2522,3.4138,4.7244,1.9507
129,689,115.1257,-97.6497,-0.7712,15.6698,3.4138,4.7244,1.9507
130,689,116.2684,-98.7604,-0.7756,16.0843,3.4138,4.7244,1.9507
131,689,117.4416,-99.911,-0.7637,16.3952,2.4049,4.7244,1.9507
132,689,118.6501,-101.0684,-0.7638,16.5628,0.8625,4.7244,1.9507
133,689,119.851,-102.2187,-0.7641,16.6177,0.0152,4.7244,1.9507
134,689,121.0516,-103.3693,-0.7638,16.6146,-0.1188,4.7244,1.9507
135,689,122.2525,-104.5196,-0.7641,16.6055,-0.0518,4.7244,1.9507
136,689,123.4531,-105.6702,-0.7644,16.6146,0.1828,4.7244,1.9507
137,689,124.6507,-106.8187,-0.7633,16.6634,0.7376,4.7244,1.9507
138,689,125.8531,-107.9693,-0.7585,16.767,1.3746,4.7244,1.9507
139,689,127.076,-109.1282,-0.7588,16.9164,1.6673,4.7244,1.9507
140,689,128.3107,-110.2989,-0.7543,17.0627,1.3655,4.7244,1.9507
141,689,129.5653,-111.4779,-0.7529,17.1663,0.7345,4.7244,1.9507
142,689,130.8253,-112.6587,-0.7535,17.2151,0.192,4.7244,1.9507
143,689,132.082,-113.8376,-0.7536,17.2303,0.0365,4.7244,1.9507
144,689,133.3387,-115.0169,-0.7535,17.2303,0.0,4.7244,1.9507
145,689,134.5954,-116.1959,-0.7534,17.1968,-0.5242,4.7244,1.9507
146,689,135.8588,-117.3809,-0.7585,17.1206,-1.0394,4.7244,1.9507
147,689,137.1,-118.5572,-0.7526,17.0048,-1.46,4.7244,1.9507
148,689,138.3265,-119.706,-0.7498,16.8402,-1.7252,4.7244,1.9507
149,689,139.5332,-120.8298,-0.7489,16.6939,-1.3381,4.7244,1.9507
150,689,140.7298,-121.9423,-0.7457,16.6086,-0.5852,4.7244,1.9507
151,689,141.9441,-123.0639,-0.745,16.575,0.2072,4.7244,1.9507
152,689,143.1697,-124.1944,-0.7457,16.5964,0.3383,4.7244,1.9507
153,689,144.3905,-125.3219,-0.7457,16.6177,-0.0213,4.7244,1.9507
154,689,145.6112,-126.4494,-0.7457,16.6086,-0.1615,4.7244,1.9507
155,689,146.8319,-127.5768,-0.7457,16.6207,0.2834,4.7244,1.9507
156,689,148.0526,-128.7043,-0.7405,16.7518,2.0239,4.7244,1.9507
157,689,149.2697,-129.8168,-0.7412,17.0932,3.4138,4.7244,1.9507
158,689,150.5371,-130.9769,-0.7488,17.654,3.4138,4.7244,1.9507
159,689,151.8556,-132.2025,-0.7505,18.3764,3.4138,4.7244,1.9507
160,689,153.2278,-133.4823,-0.7574,19.0957,3.4138,4.7244,1.9507
161,689,154.6513,-134.8283,-0.7571,19.6566,3.4138,4.7244,1.9507
162,689,156.125,-136.2209,-0.7526,19.9949,2.0208,4.7244,1.9507
163,689,157.5956,-137.5983,-0.7526,20.129,0.2865,4.7244,1.9507
164,689,159.0663,-138.9757,-0.7527,20.1442,-0.1097,4.7244,1.9507
